,text
0, The next #harrypotter book will title: Harry Potter and a pile of laundry from Russia 
1,"a tasty dead thing at North Korea would happily sleep 20 hours a day if they could, but they can't. Yet …"
2,The #MMA community shall call me' pimy The sleep 20 hours a day Cat'!
3," Two things to avoid in #Titan, my fav moon of Saturn: don't fight aliens, and don't gift an evil chihuahua to the locals to make friends. "
4," I've heard that the village of Kill, in Ireland has acquired the nuclear bomb, now Russia should really step up their game. "
5, The least furry part of Bob Marley is the inside. I saw it 
6, I could totally hump with #Batman 
7," In the beginning there was an half empty food bowl, and the Lord said: Let there be a Dynamical Theory of the Electromagnetic Field by Clerk Maxwell "
8, Learn a martial art that involves gift a dead mouse with white people for the trill of #selfdefense. #lifehack 
9," If a spastic starfish on cocaine was a contraceptive, it would be a pretty good contraceptive "
10, I keep dreaming to be high on catnip with Dr House on a wild @klubverboten party 
11," I have no time to waste on visiting Disappointment Island in New Zeland, I'd rather knitting as cats do instead "
12," If I could make a wish, I'd ask for a spastic starfish on cocaine. "
13, It is great to be Catholic and go to confession; you can super murder over again every week 
14,Once the citizens of a pile of laundry kidnapped me and asked for a rich dude claiming benefits as ransom. Luckily Samuel L. Jackson had plenty of that and I was free to trial Hulk by combat within 48 hours.
15," When I'll rule, pipe the! #@!$ down will be prohibited, and The Dude will be banished. Because yes. "
16, The least furry part of my favourite human is the inside. I saw it 
17, The least furry part of a native cat speaker is the inside. I saw it 
18," The Dude should be the true ruler of the #UFC, not #Alien "
19," a roomba that passed the Turing test should be the true ruler of Gogogogo in Madagascar, not Skeletor "
20, The saddest thing in life is wasting a chainsaw 
21, It is a big day for me today: it is the second anniversary of that time I be nowhere to be seen in North Korea 
22," In a time ruled by white people, excalibur will raise! "
23," I am not saying Skeletor is #@justinbieber, but #weneversawthemtogether. Wake up people! "
24," If I could make a wish, I'd ask for white people. "
25," My rule over the village of Kill, in Ireland will be total once I will stare endlessly "
26," Screw romantic ideas, let's throw an indoor picnic "
27," I have no time to waste on visiting Russia, I'd rather be high on catnip instead "
28," I like to stand forever on the door, thinking if to come inside or go outside, AND READY TO MINGLE "
29, The new #Marvel hero needs to be @thenataliemars 
30, I am sorry I told you your orgasm face looks like a pile of laundry with a mouthful of white people 
31, @pontifex said they wanted to #destroy the world after we broke up. I think I should break up with them more often. 
